機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師,區名,緯度,經度
3701014247,大衛牙醫診所,27660709,臺北市松山區,臺北市松山區富錦街527號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0611912,121.5651446
2701010024,交通部民用航空局航空醫務中心,0225456700,臺北市松山區,臺北市松山區敦化北路405巷123弄10號,"西醫一般科,",0,0,0,0,0,0,5,0,0,1,0,11,0,0,0,3,0,0,0,1,0,0,0,0,0,3,1,松山區,25.0635684,121.5572775
3801012567,漢浤堂健康中醫診所,25185775,臺北市松山區,臺北市松山區民生東路四段128號,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0580873,121.5549586
3701010061,政雄牙醫診所,0227647144,臺北市松山區,臺北市松山區民生東路五段２４３號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0593646,121.567872
3801012692,春日和中醫診所,27790189,臺北市松山區,臺北市松山區復興北路81巷35號1樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0513075,121.5455348
3701014238,嘉一牙醫診所,02-27665636,臺北市松山區,臺北市松山區新東街11巷3號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0582783,121.5658081
3701014327,松新牙醫診所,02-27662256,臺北市松山區,臺北市松山區八德路4段687號2樓及689號2樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0501776,121.5764259
3701014309,鉑金牙醫診所,25779550,臺北市松山區,臺北市松山區八德路3段164號1樓、164之1號(1樓),"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0479163,121.5553588
3501015357,髮立現診所,02-27195353,臺北市松山區,臺北市松山區民生東路3段113巷6弄3號1樓,"外科,",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0593603,121.5459494
3501015348,恆美學診所,25776622,臺北市松山區,臺北市松山區南京東路4段56號2樓,"西醫一般科,",0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0514933,121.5537291
3801012709,爾雅中醫診所,,臺北市松山區,臺北市松山區慶城街24號5樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0536922,121.5457712
3501015302,瑞麗嘉健康美學慶中診所,25450522,臺北市松山區,臺北市松山區南京東路3段259號5樓,"婦產科,",0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0517827,121.5575876
3501015491,蘭瑞診所,25791898,臺北市松山區,臺北市松山區敦化南路1段25號3樓,"內科,",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0463858,121.5494894
3501015339,麥茵茲美形診所,27160377,臺北市松山區,臺北市松山區南京東路5段71號2樓之3、2樓之4及3樓之5,"西醫一般科,",0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0517245,121.5595642
3801012727,欣百漢中醫診所,27631523,臺北市松山區,臺北市松山區南京東路5段80號1、2、3樓,"中醫一般科,",0,0,0,0,0,0,0,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0512604,121.5612039
3501015384,南京小岩井診所,02-25450610,臺北市松山區,臺北市松山區南京東路3段303巷8弄6號1樓,"西醫一般科,",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.052654,121.5468459
3701014283,大友牙醫診所,27627275,臺北市松山區,臺北市松山區撫遠街350之1號(1樓),"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0625782,121.5659533
3701014256,佳斯緹牙醫診所,,臺北市松山區,臺北市松山區民生東路3段113巷6弄5號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0593603,121.5459494
3501015428,佳利安診所,27182578,臺北市松山區,臺北市松山區南京東路3段305號8樓,"西醫一般科,",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0517827,121.5575876
3501015473,守葳診所,27511775,臺北市松山區,臺北市松山區南京東路3段256巷46號1、2樓,"西醫一般科,",0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0517827,121.5575876
3501015419,嬌妮美診所,27531155,臺北市松山區,臺北市松山區南京東路5段3號9樓,"西醫一般科,",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0517827,121.5575876
3501015133,弘宇診所,02-27128875,臺北市松山區,臺北市松山區民權東路3段160巷2之6號(1樓),"家庭醫學科,",0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0619656,121.5479179
3501015508,君綺國際診所,25798200,臺北市松山區,臺北市松山區敦化南路1段25號2樓,"外科,",0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0463662,121.5492971
3501015375,佳思優醫美整形診所,27095585,臺北市松山區,臺北市松山區敦化北路8號1樓(1、2層),"整形外科,",0,0,0,0,0,0,1,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.0504507,121.5485399
3701014292,勤美民生牙醫診所,,臺北市松山區,臺北市松山區民生東路5段58號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,松山區,25.058277,121.5582106
