區域別,性別,總計
總計,女,39448
大科里,女,403
黎明里,女,1838
山腳里,女,3550
福泰里,女,1341
楓樹里,女,2219
同榮里,女,2249
義學里,女,2529
明志里,女,1961
貴子里,女,2086
貴和里,女,2615
同興里,女,2025
義仁里,女,4897
泰友里,女,1047
新明里,女,1639
貴賢里,女,1931
福興里,女,1947
全興里,女,5171
總計,女,211190
中原里,女,5162
平河里,女,4843
信和里,女,2095
仁和里,女,1970
中正里,女,2013
建和里,女,1916
連和里,女,1430
連城里,女,3360
力行里,女,3254
枋寮里,女,1905
漳和里,女,2030
廟美里,女,2263
福真里,女,2078
福善里,女,2255
福美里,女,2191
福祥里,女,2586
瓦里,女,2838
福和里,女,1830
佳和里,女,2652
安樂里,女,1914
安和里,女,1614
安平里,女,3058
中安里,女,2359
泰安里,女,1759
新南里,女,4409
南山里,女,2670
秀山里,女,2370
秀成里,女,1746
秀福里,女,2567
秀景里,女,3421
秀明里,女,2771
秀峰里,女,2650
秀仁里,女,1721
頂南里,女,1471
華新里,女,4225
東南里,女,2147
華南里,女,2588
忠孝里,女,2368
崇南里,女,2317
景南里,女,1595
橫路里,女,151
內南里,女,2442
壽南里,女,1404
外南里,女,3290
復興里,女,2750
和興里,女,2327
景平里,女,3342
景新里,女,1871
景福里,女,3381
景安里,女,2492
景文里,女,2108
錦和里,女,2834
錦昌里,女,1212
灰里,女,376
積穗里,女,4307
民享里,女,1226
員山里,女,3675
嘉穗里,女,1444
文元里,女,2579
嘉新里,女,2015
民安里,女,2714
安穗里,女,2369
瑞穗里,女,1301
明穗里,女,2169
清穗里,女,1713
自強里,女,2504
德穗里,女,2328
民生里,女,2114
國光里,女,1916
壽德里,女,2442
明德里,女,2049
秀水里,女,1996
德行里,女,3579
宜安里,女,1074
安順里,女,2331
秀義里,女,1380
秀士里,女,1300
興南里,女,1581
景本里,女,1055
福南里,女,2142
中興里,女,3566
吉興里,女,1612
中山里,女,1436
碧河里,女,2802
錦中里,女,2188
錦盛里,女,1916
民有里,女,1377
員富里,女,1871
嘉慶里,女,2157
冠穗里,女,1580
國華里,女,1711
正南里,女,1681
正行里,女,1599
總計,女,196307
大有里,女,2629
二重里,女,813
頂崁里,女,1327
谷王里,女,1022
中興里,女,2150
德厚里,女,524
成功里,女,4079
福祉里,女,3134
福民里,女,1723
過田里,女,4379
錦田里,女,1098
重明里,女,2122
光田里,女,2300
光陽里,女,3196
田心里,女,2037
福田里,女,1687
田中里,女,3226
田安里,女,3178
三民里,女,1790
光明里,女,3900
光正里,女,1525
同安里,女,921
同慶里,女,933
菜寮里,女,1179
永春里,女,980
中正里,女,725
吉利里,女,716
大同里,女,1048
中民里,女,584
平和里,女,782
大安里,女,822
仁德里,女,968
忠孝里,女,955
仁義里,女,739
光榮里,女,694
光輝里,女,736
福星里,女,624
福利里,女,1275
清和里,女,2205
永興里,女,848
中山里,女,1346
大園里,女,1418
國隆里,女,1699
重陽里,女,1752
民生里,女,2233
重新里,女,775
正德里,女,569
正義里,女,875
正安里,女,951
自強里,女,916
文化里,女,1080
中央里,女,955
雙園里,女,503
錦通里,女,742
錦安里,女,953
長安里,女,1060
光華里,女,1275
長生里,女,445
開元里,女,892
大德里,女,418
長元里,女,1203
長江里,女,1039
長泰里,女,1117
長福里,女,844
介壽里,女,581
萬壽里,女,992
錦江里,女,1162
龍濱里,女,1695
龍門里,女,961
秀江里,女,641
奕壽里,女,921
三安里,女,1341
福安里,女,1505
信安里,女,1084
安慶里,女,1043
幸福里,女,2319
六合里,女,1877
六福里,女,2947
順德里,女,1064
承德里,女,877
瑞德里,女,1208
崇德里,女,1919
厚德里,女,1845
維德里,女,1438
尚德里,女,1631
培德里,女,1943
永德里,女,2476
永盛里,女,1688
