機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師,醫學中心
3531017805,丞志耳鼻喉診所,(02)29587980,新北市板橋區,新北市板橋區大明街12號1樓,"耳鼻喉科,",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531015865,憲安診所,89510916,新北市板橋區,新北市板橋區忠孝路十九號七樓,"內科,",0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3831010599,廖世輝中醫診所,02 9542343,新北市板橋區,新北市板橋區國慶路１４９巷３６號,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3831010393,惠群中醫診所,02 9589788,新北市板橋區,新北市板橋區民族路165號1樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3831014275,郭中醫診所,(02) 2965-5358,新北市板橋區,新北市板橋區南雅西路2段182號(1樓),"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3731010560,兆祥牙醫診所,02 9671981,新北市板橋區,新北市板橋區中正路233號1、2樓,"牙醫一般科,",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3731010659,慶安牙醫診所,02 2576685,新北市板橋區,新北市板橋區四維路１３７巷１弄１號１樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3731013936,匯通牙醫診所,289532920,新北市板橋區,新北市板橋區忠孝路四六號,"牙醫一般科,",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531016504,合康婦產科診所,22555852,新北市板橋區,新北市板橋區陽明街34號、34號之1,"婦產科,",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3731010551,簡牙醫診所,02-29678455,新北市板橋區,新北市板橋區府中路８８號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3731015074,板橋雙十牙醫診所,02-2258-6565,新北市板橋區,新北市板橋區雙十路2段158號1樓及2樓,"牙醫一般科,",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3531017976,周延隆耳鼻喉科診所,02-2968-0750,新北市板橋區,新北市板橋區中正路283號(1樓),"耳鼻喉科,",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3831014757,明遠中醫診所,02-89682782,新北市板橋區,新北市板橋區文化路一段159號1樓、2樓、3樓,"中醫一般科,",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
