機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師,區名,緯度,經度
131020016,新北市立聯合醫院,(02)29829111,新北市三重區,新北市三重區新北大道1段3號、3之1號,"醫學中心,",4,0,1,0,2,0,90,5,3,36,0,388,16,1,0,24,1,13,8,33,0,1,0,6,0,6,7,三重區,25.0609301,121.4902027
1131110516,國泰醫療財團法人汐止國泰綜合醫院,26482121,新北市汐止區,新北市汐止區建成路59巷2號地下4樓至地上12樓,"醫學中心,",4,0,2,0,1,1,81,0,13,35,0,586,17,0,0,27,0,16,11,35,0,2,0,11,0,6,5,汐止區,25.0729852,121.6609281
1531061249,新泰綜合醫院,,新北市新莊區,新北市新莊區新樹路176號,"醫學中心,",4,0,0,0,0,0,34,0,0,10,0,123,16,0,0,14,0,7,10,11,0,0,0,3,0,1,2,新莊區,25.0214551,121.4343264
131060010,衛生福利部樂生療養院,02  82006600,新北市新莊區,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,"醫學中心,",3,0,1,0,0,0,31,4,1,11,2,138,8,0,0,13,0,15,7,8,0,0,2,3,0,1,3,新莊區,25.0224955,121.4089468
431270012,國立臺灣大學醫學院附設醫院金山分院,24989898,新北市金山區,新北市金山區五湖里玉爐路7號,"醫學中心,",1,0,0,0,0,0,30,0,1,6,0,61,1,0,0,6,1,3,3,6,0,1,0,0,0,1,1,金山區,25.2197079,121.621016
1531020122,宏仁醫院,29788877,新北市三重區,新北市三重區水漾路一段一五八號,"家庭醫學科,內科,外科,骨科,復健科,急診醫學科,",7,0,0,0,0,0,25,0,0,7,1,89,17,0,0,7,1,7,10,5,0,0,0,3,0,0,2,三重區,25.0543988,121.4832301
931010016,中英醫療社團法人中英醫院,22563584,新北市板橋區,新北市板橋區文化路一段192之1號1樓、194號1至4樓、196號1至4樓、198號1至4樓、200號1至4樓、202號1至4樓、204號1至4樓,"內科,外科,骨科,泌尿科,復健科,麻醉科,放射診斷科,",0,0,0,0,0,0,18,0,0,3,0,78,12,0,0,8,0,4,2,8,0,1,0,5,0,0,1,板橋區,25.019732,121.466237
1531071030,仁愛醫院,02-26834567,新北市樹林區,新北市樹林區文化街9號(地下1、2樓及地上1樓至8樓),"家庭醫學科,內科,外科,骨科,神經科,泌尿科,復健科,麻醉科,放射診斷科,急診醫學科,",0,0,0,0,0,0,18,0,0,6,0,72,18,0,0,9,0,7,1,7,0,0,0,3,0,0,2,樹林區,24.9871737,121.4200433
1531051163,豐榮醫院,02-2212-2111,新北市新店區,新北市新店區安德街 26巷3號(B棟),"內科,外科,骨科,精神科,復健科,麻醉科,放射診斷科,",3,0,0,0,0,0,17,0,0,5,0,81,10,0,0,3,1,8,7,7,0,0,0,5,0,0,2,新店區,24.9632662,121.5113452
1531010108,蕭中正醫院,(02)29687095,新北市板橋區,新北市板橋區南雅南路一段15號之1、17號、19號(1、2、3、4樓),"家庭醫學科,內科,婦產科,泌尿科,復健科,",0,0,0,0,0,0,16,0,0,2,1,62,10,1,0,3,0,6,2,1,0,1,0,4,0,0,5,板橋區,25.0068789,121.4564446
131230012,衛生福利部八里療養院,(02)2610-1660,新北市八里區,新北市八里區華富山33號,"精神科,",0,0,0,0,0,0,15,0,0,10,0,129,1,0,0,3,0,0,19,1,0,0,0,0,0,15,2,八里區,25.1457388,121.4124572
1531010279,板橋中興醫院,229590707,新北市板橋區,新北市板橋區忠孝路十五號,"醫學中心,",0,0,0,0,0,0,14,0,0,7,0,53,10,0,0,7,0,4,1,6,1,0,0,1,0,0,1,板橋區,25.0023693,121.4634062
1531131157,恩樺醫院,(02)22639955,新北市土城區,新北市土城區中央路一段7-18號地下1樓、1樓、2樓、4至10樓,"內科,兒科,復健科,",4,0,0,0,0,0,11,0,0,4,0,53,13,0,0,6,0,7,9,3,0,1,0,5,0,0,2,土城區,24.991179,121.4488764
