機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師,區名,緯度,經度
3732013458,禾康牙醫診所,03-3566931,桃園市桃園區,桃園市桃園區大興路183號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0155617,121.3117707
3732010055,宏仁牙醫診所,03 3321886,桃園市桃園區,桃園市桃園區中正路423號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0005539,121.307057
3532011825,鄭嘉榮婦產科診所,(03)3329808,桃園市桃園區,桃園市桃園區中山路89-1號1樓,"婦產科,",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9943333,121.310815
3832012962,春佑中醫診所,3551158,桃園市桃園區,桃園市桃園區大興西路一段118號1樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.01486,121.3054348
3832010691,大千中醫診所,03 3329499,桃園市桃園區,桃園市桃園區文化街35號1樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9916346,121.3075706
3732010644,明仁牙醫診所,03 3388858,桃園市桃園區,桃園市桃園區永樂街18號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9955438,121.3118572
3732013118,尚揚牙醫診所,(03)3016322,桃園市桃園區,桃園市桃園區大興西路二段76巷3號2樓,"牙醫一般科,",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0118339,121.2983333
3732010706,三民牙醫診所,03 3379333,桃園市桃園區,桃園市桃園區民光路87號,"牙醫一般科,",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0041554,121.3059739
3532015270,智元診所,33150708,桃園市桃園區,桃園市桃園區大業路一段333號,"西醫一般科,",0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0117351,121.3125535
3532014362,向榮婦產科診所,3339600,桃園市桃園區,桃園市桃園區民生路141號  1-2樓,"婦產科,",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9933851,121.3129077
3732010135,立新牙醫診所,03 3372626,桃園市桃園區,桃園市桃園區復興路414號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9908684,121.30292
3732011089,福康牙醫診所,33585249,桃園市桃園區,桃園市桃園區同安街406號1、2樓及408號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0183701,121.3019052
3532010533,涂婦產科診所,03 3375285,桃園市桃園區,桃園市桃園區中山路７０號1樓,"婦產科,",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9949416,121.3112959
3732013565,潔德美學牙醫診所,03-3172286,桃園市桃園區,桃園市桃園區同德11街78號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.020591,121.2958826
3532012895,林眼科診所,03 3663026,桃園市桃園區,桃園市桃園區桃鶯路212號1樓,"眼科,",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.981063,121.3194176
3532018002,中正耳鼻喉科診所,03-3379798,桃園市桃園區,桃園市桃園區中正路535號1樓,"耳鼻喉科,",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0031419,121.3055131
3532014399,吳鎮宇親子耳鼻喉科診所,(03)3787876,桃園市桃園區,桃園市桃園區中山路824號1樓及2樓、826號1樓及2樓,"耳鼻喉科,",0,0,1,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9909486,121.2904046
3532015896,慈文診所,03-3355482,桃園市桃園區,桃園市桃園區中正路566號1、2樓,"耳鼻喉科,",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0038533,121.305377
3532011147,白皮膚科診所,03 3324540,桃園市桃園區,桃園市桃園區文化街5號1樓,"皮膚科,",0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9921562,121.3087743
3532015731,振興診所,3332077,桃園市桃園區,桃園市桃園區中正路527號1樓及2樓,"內科,",0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.002988,121.3056171
3732012568,明新牙醫診所,3380148,桃園市桃園區,桃園市桃園區中正路三一八號,"牙醫一般科,",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0107146,121.3053514
3732014348,京澤牙醫診所,(03)3319882,桃園市桃園區,桃園市桃園區民光東路103號1樓及2樓、105號1樓及2樓,"牙醫一般科,",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0080509,121.3187664
3732010199,慈恩牙醫診所,03 3611516,桃園市桃園區,桃園市桃園區南豐三街14號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,24.9817371,121.3065085
3732013976,新潔明牙醫診所,03-3550099,桃園市桃園區,桃園市桃園區中正路1080號3樓,"牙醫一般科,",0,2,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,桃園區,25.0145764,121.2995478
