機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師,區名,緯度,經度
3503010216,梁文宜復健科診所,04-25220739,臺中市豐原區,臺中市豐原區圓環東路656號1、2樓,"復健科,",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,豐原區,24.2503544,120.7284129
3503010403,世淋診所,25207017,臺中市豐原區,臺中市豐原區中正路497號1樓,"精神科,",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.250332,120.710839
3836010320,詹中醫診所,04-25267707,臺中市豐原區,臺中市豐原區惠陽街７號１樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2488883,120.7225892
3503010421,佳藝診所,04-25132240,臺中市豐原區,臺中市豐原區豐勢路二段386號1樓、388號1樓,"家庭醫學科,復健科,",2,0,0,0,0,0,2,0,0,1,0,10,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,豐原區,24.2644623,120.7443397
3503010467,吳晉淵骨科診所,04-25355206,臺中市豐原區,臺中市豐原區三民路65號1、2樓,"外科,骨科,",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,豐原區,24.25358,120.720984
3503010387,豐原嬌點美學診所,04-25208588,臺中市豐原區,臺中市豐原區圓環東路407號1、2樓,"西醫一般科,",0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2464737,120.7257738
3503010449,愛美診所,04-25260599,臺中市豐原區,臺中市豐原區向陽路148號3樓,"西醫一般科,",0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.252146,120.724992
3803010196,祥發中醫診所,04-25285474,臺中市豐原區,臺中市豐原區中正路502號1樓,"中醫一般科,",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2505578,120.7086631
3803010178,豐南大同中醫診所,04-25274601,臺中市豐原區,臺中市豐原區中山路200號1、2樓,"中醫一般科,",0,0,0,0,0,0,0,7,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2404091,120.7124247
3503010350,禾安診所,04-25231588,臺中市豐原區,臺中市豐原區永康路312號1樓,"家庭醫學科,",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2401374,120.7226778
1503010045,惠盛醫院,425229100,臺中市豐原區,臺中市豐原區中正路268號,"家庭醫學科,內科,復健科,中醫一般科,",1,0,0,0,0,0,3,2,0,2,0,15,1,0,0,2,0,4,3,1,0,1,0,0,0,0,1,豐原區,24.2518425,120.7161566
3503010369,如毅診所,04-25263806,臺中市豐原區,臺中市豐原區中興路112號1、2、3、4樓,"外科,復健科,",2,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,6,4,0,0,5,0,0,0,0,0,豐原區,24.2483799,120.715151
3503010314,享開心身心診所,04-25225361,臺中市豐原區,臺中市豐原區三民路86號3樓,"精神科,",0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2538359,120.7206968
3536011410,親安耳鼻喉科診所,04 25202390,臺中市豐原區,臺中市豐原區西勢里中山路４１９號,"耳鼻喉科,",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2506617,120.7143322
3703010041,鉅豐牙醫診所,04-25243313,臺中市豐原區,臺中市豐原區和平街48號及50號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2530313,120.7200723
3703010096,聖恩牙醫診所,04-25291388,臺中市豐原區,臺中市豐原區向陽路72號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2519808,120.7227671
3536010431,豐壽診所,04 25243947,臺中市豐原區,臺中市豐原區圓環南路１５６號,"家庭醫學科,外科,",0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.248101,120.710147
3836010651,久大中醫診所,04-25293445,臺中市豐原區,臺中市豐原區大明路２２號,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2398585,120.7106264
3503010298,晨欣親子診所,04-25256525,臺中市豐原區,臺中市豐原區豐東路83號1樓、2樓,"兒科,",0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2488916,120.7303709
3836012020,養生中醫診所,04-25262492,臺中市豐原區,臺中市豐原區三豐路二段168號1樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2647685,120.7204391
3536010566,林秋能小兒科診所,04 25268575,臺中市豐原區,臺中市豐原區中山路４３７號,"兒科,",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2515378,120.7140491
3536010217,廖勁直內科小兒科診所,04 25266620,臺中市豐原區,臺中市豐原區中興路１２６號,"內科,兒科,",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2483319,120.714835
3536010164,賴內科小兒科診所,04-25323780,臺中市豐原區,臺中市豐原區中山路72號,"內科,兒科,",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2374458,120.7107624
3536012640,林隆弘診所,04-25268432,臺中市豐原區,臺中市豐原區田心路二段四０號,"西醫一般科,",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2386453,120.7222797
3736010248,肇洲牙醫診所,04 25278288,臺中市豐原區,臺中市豐原區田心路一段６１號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2469437,120.71731
3736010855,豐南牙醫診所,04 25223241,臺中市豐原區,臺中市豐原區大明路２０號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.239929,120.710711
3536011090,豐原李耳鼻喉科診所,04 25291915,臺中市豐原區,臺中市豐原區南陽路２９５號,"耳鼻喉科,",0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.245091,120.727005
3703010103,晶悅牙醫診所,04-25281528,臺中市豐原區,臺中市豐原區中正路908號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2491916,120.6999194
3836010400,德純中醫診所,04 25263750,臺中市豐原區,臺中市豐原區成功路１８５號,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2452167,120.7090743
3736010695,牙白牙醫診所,04 25290071,臺中市豐原區,臺中市豐原區同安街１６８號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.248062,120.7263952
3703010121,豐中牙醫診所,04-25277544,臺中市豐原區,臺中市豐原區三豐路一段65號1樓及夾層、67號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2560495,120.7224817
3836012066,一品堂豐原中醫診所,04-25232568,臺中市豐原區,臺中市豐原區圓環北路二段１６１、１６３號１樓、２樓、３樓,"中醫一般科,",0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2608265,120.7235749
3836012075,健原中醫診所,04-25267455,臺中市豐原區,臺中市豐原區三民路１６６號１、２樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2535712,120.7189353
3736010766,陽光牙醫診所,04 25206870,臺中市豐原區,臺中市豐原區愛國街２６８號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2526969,120.7282574
3503010458,智聖診所,04-25150200,臺中市豐原區,臺中市豐原區三民路65號6樓,"外科,",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2536032,120.7209469
3836010455,聖惠方中醫診所,04-25295336,臺中市豐原區,臺中市豐原區育仁路２０２號１樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2396803,120.7160486
3836010142,犁安中醫診所,04-25232413,臺中市豐原區,臺中市豐原區圓環西路１５９號,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.254747,120.709893
3503010430,日曦美學診所,04-25230666,臺中市豐原區,臺中市豐原區豐東一街2號1、2、3樓,"西醫一般科,",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2511052,120.7320107
3736010168,正豐牙醫診所,04 25263367,臺中市豐原區,臺中市豐原區向陽路186號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2522508,120.7256858
3536010351,蘇內兒科診所,04 25266788,臺中市豐原區,臺中市豐原區府前街３８號,"內科,兒科,",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2496855,120.719447
3503010412,合石骨科診所,25220739,臺中市豐原區,臺中市豐原區圓環東路656號1樓,"骨科,",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2503544,120.7284129
3736010640,吉德牙醫診所,04 25202929,臺中市豐原區,臺中市豐原區三豐路二段5號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.264426,120.7201576
3536011063,陳成福診所,04 25120612,臺中市豐原區,臺中市豐原區和平街４７號,"家庭醫學科,內科,",0,0,0,0,0,0,3,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.253168,120.719762
3536012935,唐偉?復健科診所,04-25297228 . 04-25273259,臺中市豐原區,臺中市豐原區中山路371號,"復健科,",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,豐原區,24.249642,120.71455
3536010959,許躍騰診所,04 25222010,臺中市豐原區,臺中市豐原區中正路２２２號,"家庭醫學科,",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.252114,120.717359
3736010873,潔美牙醫診所,04 25257963,臺中市豐原區,臺中市豐原區育仁路110號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2415193,120.7170223
3736010499,翁子牙醫診所,04 25286302,臺中市豐原區,臺中市豐原區圓環東路697及699號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2526093,120.7292077
3536010799,重仁骨科診所,04 25237075,臺中市豐原區,臺中市豐原區中山路４８７號,"骨科,復健科,",0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,豐原區,24.2530824,120.7139432
3536011367,陳聰波診所,04 25251598,臺中市豐原區,臺中市豐原區中正路234號,"西醫一般科,",0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.252011,120.71709
3503010172,麗緻診所,04-25250920,臺中市豐原區,臺中市豐原區中正路124號1樓,"西醫一般科,",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.251804,120.7203698
3736010211,游牙醫診所,04 25231119,臺中市豐原區,臺中市豐原區豐東路98號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2472689,120.7297415
3536012515,張宗聖耳鼻喉科診所,04-2520-0049 或 0952-963-637,臺中市豐原區,臺中市豐原區中正路66號1樓,"耳鼻喉科,",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.252881,120.721406
3536011287,謝榮吉診所,04 25283295,臺中市豐原區,臺中市豐原區南陽路２９９?６號,"西醫一般科,",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,豐原區,24.245455,120.726614
3836012119,溫秀丹中醫診所,04-25286178,臺中市豐原區,臺中市豐原區三民路36號１樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2541414,120.7220882
3736010257,長青牙醫診所.,04 25268808,臺中市豐原區,臺中市豐原區中山路４５０號,"牙醫一般科,",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.248013,120.715629
3536012855,呂維國婦產科診所,(04)25262889,臺中市豐原區,臺中市豐原區中正路346號及348號〈1樓2樓3樓4樓〉,"兒科,婦產科,",0,0,0,0,0,0,8,0,0,2,0,8,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,豐原區,24.2512881,120.7132574
3536013067,大順診所,04-25250667,臺中市豐原區,臺中市豐原區北陽路138號1-4樓及豐東路239號2樓,"內科,",0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2514539,120.7331207
3736010739,豐原仁愛牙醫診所,04-25253522,臺中市豐原區,臺中市豐原區中正路326號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.2511248,120.7135181
3736012251,顏國書牙醫診所,04-25204562,臺中市豐原區,臺中市豐原區源豐路52號1、2樓,"牙醫一般科,",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豐原區,24.252457,120.7160219
3536013003,林宜民診所,04-25209199,臺中市豐原區,臺中市豐原區中山路393號1樓,"內科,",0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,豐原區,24.250121,120.714434
1536011276,新惠生醫院,04-25228792,臺中市豐原區,臺中市豐原區圓環北路一段319號,"外科,婦產科,",0,0,0,0,0,0,11,0,0,4,0,55,9,0,0,5,0,0,0,8,0,0,0,0,0,0,0,豐原區,24.2582524,120.7193461
1536011294,祥恩醫院,04 25255522,臺中市豐原區,臺中市豐原區中興路３５號,"家庭醫學科,內科,",0,0,0,0,0,0,6,0,0,2,0,23,3,0,0,1,0,0,0,1,0,0,0,3,0,0,1,豐原區,24.2481506,120.7176096
