機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師,區名,緯度,經度
3841011366,祐安中醫診所,06-6336558,臺南市新營區,臺南市新營區王公里民族路330巷56號1樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新營區,23.3192384,120.3207914
1541011126,營新醫院,"06-6592592,6592345",臺南市新營區,臺南市新營區隋唐街228號,"家庭醫學科,內科,外科,婦產科,骨科,神經科,復健科,麻醉科,放射診斷科,",0,0,0,0,0,0,12,0,0,4,0,60,14,0,0,3,0,3,4,3,0,4,0,1,0,0,2,新營區,23.3084859,120.2998575
3541012301,晶明診所,06-6320588,臺南市新營區,臺南市新營區王公里民治路8號之8,"眼科,",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新營區,23.3111781,120.320609
3741011417,宏彥牙醫診所,06-6330696,臺南市新營區,臺南市新營區興業里中山路107之3號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新營區,23.3055109,120.3194878
3541012312,保安診所,06-6325757,臺南市新營區,臺南市新營區民權里民權路78-2號,"西醫一般科,",0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新營區,23.3064035,120.3127498
2341010019,臺南市新營區衛生所,06-6355696,臺南市新營區,臺南市新營區大宏里三民路72號,"西醫一般科,",0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,新營區,23.307466,120.317153
3741010134,聖和牙醫診所,06 6323332,臺南市新營區,臺南市新營區延平里復興路６1號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新營區,23.3023439,120.312638
3505010161,和康皮膚科診所,06-6352888,臺南市新營區,臺南市新營區民權里民權路96之2號1樓,"皮膚科,",0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新營區,23.309091,120.312382
3505010116,幸福泌尿科外科診所,06-6378998,臺南市新營區,臺南市新營區大宏里三民路76-11、12號1-2樓,"外科,泌尿科,",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新營區,23.3073847,120.3166067
3541012321,惠生婦產科診所,06-6331230,臺南市新營區,臺南市新營區大宏里三民路72-1號1樓之2、3及2樓,"婦產科,",0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新營區,23.307445,120.3173361
