機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師,區名,緯度,經度
3542014187,黃鼎文骨科診所,7026939,高雄市鳳山區,高雄市鳳山區中山東路138號1-3樓,"外科,骨科,",0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,鳳山區,22.6254228,120.3743487
3542012101,中崙診所,07 7533427,高雄市鳳山區,高雄市鳳山區中崙四路２６號,"西醫一般科,",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.5997248,120.3511037
3507011004,董石城診所,07-7407636,高雄市鳳山區,高雄市鳳山區文龍東路353號1樓,"內科,",0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,鳳山區,22.6404181,120.3651125
3507010169,詹文祥耳鼻喉科診所,07-7425003,高雄市鳳山區,高雄市鳳山區曹公路14號1樓,"耳鼻喉科,",0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.628497,120.3573558
3742010245,啟仁牙醫診所,07 7464282,高雄市鳳山區,高雄市鳳山區三民路１７２號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.6236019,120.3602684
3542011631,王清敏皮膚科診所,07 7190474,高雄市鳳山區,高雄市鳳山區文衡路４６號,"皮膚科,",0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.633167,120.35811
3542012049,德恩診所,07 7194722,高雄市鳳山區,高雄市鳳山區王生明路133號,"外科,",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.6198896,120.3626632
3542011686,林基碧診所,07-7464219,高雄市鳳山區,高雄市鳳山區五甲一路１０１號,"家庭醫學科,",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.6203612,120.3567279
3507011255,惠禾診所,07-7191180,高雄市鳳山區,高雄市鳳山區博愛路173號1樓,"兒科,",0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.62836,120.3709134
3507011193,柏雅診所,07-7465832,高雄市鳳山區,高雄市鳳山區青年路二段30號1-2樓,"內科,兒科,",0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.6286171,120.3493888
3507010981,五甲天民泌尿科診所,07-7211920,高雄市鳳山區,高雄市鳳山區善美里保泰路296號1、2樓,"泌尿科,",0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鳳山區,22.601973,120.3334272
